DISEASE	MED_CODE	BETA_COEF	BETA_SE	P_VAL	N_cases	N_controls	MED_FREQ_ALL	MED_FREQ_CASES	MED_FREQ_CONTROLS	coding	meaning	col_name	adjusted_P_VAL	Memo	Circular	ACB	Gene_Drug_CPIC	Metabolism_Inhibitor
Dementia	meds_1140861090	1.13844345	0.331174327	0.000586903	2732	10928	0.003123096	0.009090909	0.001921669	1140861090	adalat 5mg capsule	meds_1140861090	0.035886817	Blood pressure		1		
Dementia	meds_1140861778	1.561026745	0.35052481	8.45E-06	2732	10928	0.003046923	0.01	0.001647145	1140861778	dipyridamole	meds_1140861778	0.000971128	Anticoagulant		1		
Dementia	meds_1140861958	0.223323948	0.062983594	0.000391501	2732	10928	0.139701402	0.235	0.120516105	1140861958	simvastatin	meds_1140861958	0.025383802	Statin		0		
Dementia	meds_1140863152	1.534090259	0.331072063	3.59E-06	2732	10928	0.003656307	0.009545455	0.002470717	1140863152	diazepam	meds_1140863152	0.000484544	Benzodiazepines		1		
Dementia	meds_1140864752	0.476169793	0.09950466	1.71E-06	2732	10928	0.047074954	0.082727273	0.039897511	1140864752	lansoprazole	meds_1140864752	0.00025168	PPI		0		
Dementia	meds_1140864992	0.64069665	0.168345951	0.000141327	2732	10928	0.015006094	0.03	0.011987555	1140864992	tramadol	meds_1140864992	0.010701939	Pain		1		
Dementia	meds_1140865716	1.350542609	0.352466864	0.000127268	2732	10928	0.003123096	0.009545455	0.001830161	1140865716	senna	meds_1140865716	0.010137783	Constipation		0		
Dementia	meds_1140865800	1.519678566	0.286639189	1.15E-07	2732	10928	0.004646557	0.015	0.002562225	1140865800	lactulose product	meds_1140865800	2.28E-05	Constipation		0		
Dementia	meds_1140867504	2.484474414	0.751661826	0.000948718	2732	10928	0.000761731	0.003181818	0.000274524	1140867504	priadel 200mg m/r tablet	meds_1140867504	0.049418051	Lithium		0		
Dementia	meds_1140867726	3.088771608	0.794499935	0.000101202	2732	10928	0.000914077	0.004090909	0.000274524	1140867726	lofepramine	meds_1140867726	0.008380698	TCA		3		CYP2D6
Dementia	meds_1140867878	1.227110336	0.275581915	8.48E-06	2732	10928	0.006170018	0.011363636	0.005124451	1140867878	sertraline	meds_1140867878	0.000971128	SSRI		1	"CYP2D6,CYP2C19"	
Dementia	meds_1140868226	0.384213694	0.059569235	1.12E-10	2732	10928	0.165447898	0.290909091	0.140190337	1140868226	aspirin	meds_1140868226	5.85E-08	Anticoagulant/Pain		0		
Dementia	meds_1140870390	1.063576	0.278127514	0.000131273	2732	10928	0.005941499	0.013181818	0.004483895	1140870390	ferrous sulphate	meds_1140870390	0.01026134	Anemia		0		
Dementia	meds_1140870422	0.914861495	0.208023586	1.09E-05	2732	10928	0.009902498	0.022272727	0.007412152	1140870422	folic acid product	meds_1140870422	0.001235571	Folic acid		0		
Dementia	meds_1140871024	1.215826799	0.217723455	2.35E-08	2732	10928	0.009064595	0.019545455	0.006954612	1140871024	vitamin b compound tablet	meds_1140871024	5.77E-06	Vitamin b		0		
Dementia	meds_1140872150	1.7983336	0.528792158	0.00067181	2732	10928	0.001447288	0.004545455	0.000823572	1140872150	clonazepam	meds_1140872150	0.039020941	Benzodiazepines		0		
Dementia	meds_1140872198	2.030900522	0.503104025	5.42E-05	2732	10928	0.001904327	0.005	0.001281113	1140872198	sodium valproate	meds_1140872198	0.004981534	Epilepsy		1		
Dementia	meds_1140872200	1.950426677	0.450996872	1.53E-05	2732	10928	0.002132846	0.007272727	0.001098097	1140872200	epilim 100mg crushable tablet(valproate sodium)	meds_1140872200	0.001703343	Epilepsy		1		
Dementia	meds_1140872228	0.995918123	0.253431514	8.50E-05	2732	10928	0.007084095	0.014090909	0.005673499	1140872228	gabapentin	meds_1140872228	0.007409138	Epilepsy/Pain		0		
Dementia	meds_1140872338	2.878962931	0.645912286	8.30E-06	2732	10928	0.00175198	0.009090909	0.000274524	1140872338	madopar 62.5 capsule(levodopa and benserazide)	meds_1140872338	0.000971128	PD drug		0		
